State,Number of CoCs,"Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
GA,9,"13,790","7,987","5,803","9,702","4,783","4,919","4,088","3,204",884,"2,137",622,"1,515","1,994",568,"1,426",143,54,89,"1,548",866,682,575,292,283,15,11,4,560,281,279,51,45,6,0,0,0,51,45,6,98,79,19
GU,1,"1,280",87,"1,193",306,23,283,974,64,910,153,0,153,27,0,27,126,0,126,23,1,22,7,1,6,1,1,0,6,0,6,12,0,12,0,0,0,12,0,12,10,0,10
HI,2,"7,620","3,777","3,843","4,307","1,243","3,064","3,313","2,534",779,"1,534",180,"1,354","1,372",153,"1,219",162,27,135,692,275,417,303,76,227,24,8,16,279,68,211,95,70,25,1,0,1,94,70,24,93,71,22
IA,3,"3,081","2,878",203,"1,501","1,302",199,"1,580","1,576",4,275,221,54,201,147,54,74,74,0,207,175,32,179,176,3,7,7,0,172,169,3,124,124,0,4,4,0,120,120,0,139,139,0
ID,2,"1,966","1,497",469,"1,172",832,340,794,665,129,245,112,133,164,84,80,81,28,53,249,174,75,129,91,38,4,3,1,125,88,37,22,19,3,0,0,0,22,19,3,31,29,2
IL,20,"13,177","10,463","2,714","8,152","5,599","2,553","5,025","4,864",161,"1,912",994,918,"1,799",892,907,113,102,11,"1,226",769,457,832,680,152,38,33,5,794,647,147,351,345,6,2,2,0,349,343,6,522,514,8
IN,3,"5,863","5,280",583,"3,914","3,353",561,"1,949","1,927",22,703,529,174,608,450,158,95,79,16,790,726,64,373,333,40,36,36,0,337,297,40,103,102,1,3,3,0,100,99,1,149,147,2
KS,5,"2,588","2,283",305,"1,466","1,191",275,"1,122","1,092",30,379,245,134,339,214,125,40,31,9,311,276,35,89,72,17,3,3,0,86,69,17,28,27,1,0,0,0,28,27,1,31,30,1
KY,3,"4,538","3,796",742,"3,151","2,622",529,"1,387","1,174",213,457,413,44,383,345,38,74,68,6,591,541,50,248,194,54,27,27,0,221,167,54,75,64,11,0,0,0,75,64,11,99,90,9
LA,9,"4,081","2,890","1,191","3,217","2,053","1,164",864,837,27,773,287,486,735,255,480,38,32,6,392,350,42,389,233,156,30,27,3,359,206,153,61,61,0,0,0,0,61,61,0,105,105,0
MA,16,"21,135","20,542",593,"6,378","5,814",564,"14,757","14,728",29,"2,561","2,320",241,"1,411","1,170",241,"1,150","1,150",0,"1,133","1,101",32,415,384,31,5,4,1,410,380,30,839,839,0,10,10,0,829,829,0,"1,070","1,070",0
MD,16,"8,390","6,594","1,796","5,383","3,987","1,396","3,007","2,607",400,"1,847","1,016",831,"1,634",923,711,213,93,120,714,586,128,481,327,154,54,22,32,427,305,122,138,126,12,0,0,0,138,126,12,217,204,13
ME,2,"2,372","2,313",59,"1,219","1,170",49,"1,153","1,143",10,217,203,14,193,179,14,24,24,0,151,142,9,146,145,1,18,18,0,128,127,1,56,55,1,0,0,0,56,55,1,67,65,2
MI,21,"10,516","9,444","1,072","6,546","5,553",993,"3,970","3,891",79,935,621,314,830,519,311,105,102,3,"1,067",991,76,975,880,95,160,153,7,815,727,88,262,260,2,0,0,0,262,260,2,400,396,4
MN,10,"7,546","6,705",841,"3,622","2,987",635,"3,924","3,718",206,"1,396","1,054",342,"1,124",833,291,272,221,51,297,253,44,733,639,94,131,113,18,602,526,76,276,260,16,13,12,1,263,248,15,373,352,21
MO,8,"6,482","5,411","1,071","3,434","2,640",794,"3,048","2,771",277,"1,025",652,373,875,536,339,150,116,34,540,430,110,474,393,81,101,83,18,373,310,63,109,104,5,7,7,0,102,97,5,173,165,8
MP,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
MS,3,"1,983","1,141",842,"1,475",693,782,508,448,60,243,67,176,233,67,166,10,0,10,206,87,119,93,55,38,25,25,0,68,30,38,9,7,2,0,0,0,9,7,2,21,13,8
MT,1,"1,709",837,872,"1,127",478,649,582,359,223,166,26,140,154,23,131,12,3,9,277,98,179,171,41,130,13,6,7,158,35,123,41,26,15,9,7,2,32,19,13,55,31,24
NC,12,"10,685","8,260","2,425","7,156","5,372","1,784","3,529","2,888",641,"1,364",682,682,"1,253",605,648,111,77,34,"1,092",904,188,631,468,163,79,63,16,552,405,147,115,90,25,2,2,0,113,88,25,159,130,29
ND,1,"1,305",819,486,864,591,273,441,228,213,138,68,70,70,52,18,68,16,52,137,90,47,142,113,29,18,18,0,124,95,29,11,11,0,0,0,0,11,11,0,17,17,0
NE,3,"2,744","2,621",123,"1,720","1,597",123,"1,024","1,024",0,322,266,56,257,201,56,65,65,0,247,231,16,238,220,18,29,29,0,209,191,18,47,47,0,0,0,0,47,47,0,69,69,0
NH,3,"1,445","1,313",132,778,666,112,667,647,20,317,260,57,257,205,52,60,55,5,138,124,14,91,82,9,6,5,1,85,77,8,35,35,0,0,0,0,35,35,0,40,40,0
NJ,16,"10,098","9,124",974,"6,189","5,293",896,"3,909","3,831",78,"1,410",972,438,"1,182",752,430,228,220,8,696,616,80,643,587,56,47,47,0,596,540,56,369,367,2,0,0,0,369,367,2,492,487,5
NM,2,"2,629","2,175",454,"1,666","1,237",429,963,938,25,716,445,271,621,360,261,95,85,10,278,214,64,193,168,25,54,53,1,139,115,24,33,33,0,0,0,0,33,33,0,52,52,0
NV,3,"8,743","4,528","4,215","7,858","3,646","4,212",885,882,3,594,117,477,585,108,477,9,9,0,860,516,344,"2,310",288,"2,022",825,9,816,"1,485",279,"1,206",48,48,0,5,5,0,43,43,0,74,74,0
NY,27,"88,250","84,228","4,022","36,135","32,172","3,963","52,115","52,056",59,"7,116","4,733","2,383","4,327","1,982","2,345","2,789","2,751",38,"2,399","2,268",131,"2,626","2,367",259,133,128,5,"2,493","2,239",254,"2,470","2,463",7,10,9,1,"2,460","2,454",6,"3,013","3,006",7
OH,9,"11,182","10,083","1,099","7,565","6,590",975,"3,617","3,493",124,"1,275",887,388,"1,160",782,378,115,105,10,"1,183","1,073",110,770,665,105,49,47,2,721,618,103,237,236,1,3,3,0,234,233,1,355,352,3
OK,8,"3,777","2,999",778,"2,781","2,111",670,996,888,108,581,342,239,508,289,219,73,53,20,351,253,98,460,315,145,84,40,44,376,275,101,50,48,2,0,0,0,50,48,2,92,91,1
OR,7,"13,226","5,831","7,395","9,461","4,048","5,413","3,765","1,783","1,982","4,011","1,008","3,003","3,521",921,"2,600",490,87,403,"1,464",769,695,"1,350",448,902,388,62,326,962,386,576,135,88,47,0,0,0,135,88,47,155,101,54
PA,16,"15,421","13,993","1,428","8,605","7,276","1,329","6,816","6,717",99,"1,590","1,040",550,"1,442",909,533,148,131,17,"1,375","1,295",80,871,745,126,37,28,9,834,717,117,573,573,0,4,4,0,569,569,0,792,792,0
PR,2,"4,518","1,421","3,097","3,929","1,029","2,900",589,392,197,"1,756",195,"1,561","1,615",195,"1,420",141,0,141,164,55,109,173,62,111,13,11,2,160,51,109,35,31,4,0,0,0,35,31,4,57,49,8
RI,1,"1,111","1,075",36,706,673,33,405,402,3,130,118,12,110,100,10,20,18,2,107,105,2,47,39,8,4,4,0,43,35,8,35,35,0,0,0,0,35,35,0,44,44,0
SC,4,"5,354","3,458","1,896","3,934","2,465","1,469","1,420",993,427,"1,020",525,495,916,456,460,104,69,35,681,470,211,195,126,69,13,12,1,182,114,68,63,59,4,1,0,1,62,59,3,95,87,8
SD,1,"1,036",900,136,630,506,124,406,394,12,95,67,28,85,59,26,10,8,2,177,170,7,108,83,25,8,8,0,100,75,25,29,29,0,0,0,0,29,29,0,36,36,0
TN,10,"9,123","5,879","3,244","6,516","4,075","2,441","2,607","1,804",803,"1,650",702,948,"1,492",648,844,158,54,104,945,756,189,673,454,219,14,3,11,659,451,208,65,36,29,0,0,0,65,36,29,94,49,45
TX,11,"23,678","16,192","7,486","16,265","9,234","7,031","7,413","6,958",455,"4,304","1,915","2,389","3,778","1,543","2,235",526,372,154,"2,393","1,490",903,"1,416",797,619,218,185,33,"1,198",612,586,161,158,3,3,3,0,158,155,3,252,244,8
UT,3,"3,025","2,799",226,"1,809","1,605",204,"1,216","1,194",22,233,215,18,178,165,13,55,50,5,337,313,24,132,106,26,11,11,0,121,95,26,34,34,0,0,0,0,34,34,0,40,40,0
VA,16,"7,001","6,190",811,"4,190","3,434",756,"2,811","2,756",55,"1,158",789,369,"1,041",702,339,117,87,30,604,513,91,330,288,42,12,12,0,318,276,42,129,127,2,0,0,0,129,127,2,187,186,1
VI,1,337,85,252,308,56,252,29,29,0,22,4,18,22,4,18,0,0,0,34,4,30,12,4,8,0,0,0,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0
VT,2,"1,523","1,373",150,910,775,135,613,598,15,166,111,55,139,84,55,27,27,0,119,113,6,101,87,14,4,3,1,97,84,13,34,34,0,1,1,0,33,33,0,35,35,0
WA,7,"19,419","12,298","7,121","12,526","6,200","6,326","6,893","6,098",795,"2,482","1,027","1,455","2,261",908,"1,353",221,119,102,"1,293",886,407,"1,341",700,641,154,91,63,"1,187",609,578,310,296,14,12,11,1,298,285,13,351,342,9
WI,4,"6,057","5,615",442,"2,992","2,647",345,"3,065","2,968",97,464,377,87,361,277,84,103,100,3,534,515,19,334,287,47,33,25,8,301,262,39,195,184,11,0,0,0,195,184,11,284,270,14
WV,4,"1,835","1,403",432,"1,414","1,049",365,421,354,67,386,226,160,352,192,160,34,34,0,305,227,78,145,103,42,11,11,0,134,92,42,23,16,7,3,3,0,20,13,7,29,21,8
WY,1,798,507,291,500,292,208,298,215,83,102,37,65,86,35,51,16,2,14,112,83,29,37,26,11,4,2,2,33,24,9,12,11,1,0,0,0,12,11,1,20,19,1
Total,406,"564,708","391,440","173,268","358,422","205,616","152,806","206,286","185,824","20,462","96,275","36,767","59,508","83,170","28,355","54,815","13,105","8,412","4,693","47,725","31,505","16,220","36,907","19,838","17,069","4,667","2,287","2,380","32,240","17,551","14,689","9,901","9,462",439,126,118,8,"9,775","9,344",431,"13,242","12,669",573
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
